names,degrees,betweenness,eigenvector
Bedford,10,0.07853489033940167,0.17103092196526165
Gloucester,18,0.2236808610808953,0.31638454904896285
Exeter,10,0.0365510679796394,0.21376235213666905
Winchester,11,0.06089811309864283,0.23032786396506194
1Messenger,2,0.0,0.041921529709697335
2Messenger,2,0.0,0.041921529709697335
3Messenger,3,0.0005328005328005328,0.0670145345861463
Alencon,8,0.036044929571074476,0.16540495573852304
Charles,11,0.0449003171773165,0.21445380799855504
Reignier,8,0.03578251194578945,0.1700535175558938
Bastard,5,0.0006368631368631368,0.09710658866939324
Pucelle,15,0.16405616133316062,0.2315076119292242
1Warder,2,0.0,0.04377699817000195
1Servingman,6,0.03747399786360825,0.0854434513323163
2Warder,1,0.0,0.009308547667043154
Woodville,1,0.0,0.03446845050295879
Servingmen,2,0.0,0.05956145537940776
Mayor,4,0.0,0.12054716517230075
Boy,2,0.03571428571428571,0.003476322696212134
Gunner,1,0.0,0.0003787462074780092
Salisbury,3,0.07012987012987013,0.031529205710754606
Talbot,21,0.4468995778372914,0.25167418226948407
Gargrave,3,0.000974025974025974,0.03424803599201073
Glansdale,2,0.0,0.0311504595032766
4Messenger,1,0.0,0.027419187363573915
Sentinel,3,0.03571428571428571,0.04598545155319207
Sergeant,1,0.0,0.005010033600338808
Burgundy,6,0.009015050843058358,0.10989570741487123
EnglishSoldier,1,0.0,0.02522216484720073
5Messenger,3,0.0008658008658008658,0.042931031776371954
Captain,4,0.004012237762237762,0.08132861317270661
Countess,3,0.03571428571428571,0.03248203725804575
Porter,1,0.0,0.0035388714463796362
Plantagenet,17,0.16660334695493614,0.3335628939239623
Suffolk,9,0.021132678316974282,0.22422410452677274
Somerset,11,0.02527653623432844,0.25304991004561034
Warwick,12,0.04691955752533332,0.2771105139978925
Vernon,7,0.026286440831895377,0.1685851964837269
Lawyer,3,0.0,0.08227506143936822
Keeper,1,0.0,0.0040066299237424335
Mortimer,2,0.03571428571428571,0.036776609386147484
King,12,0.06563296822225394,0.282673610028375
2Servingman,3,0.0,0.05245788900873124
3Servingman,4,0.003559161702958695,0.07968187415400167
FrenchSoldier,2,0.0,0.02830607814527802
Watch,2,0.0,0.02830607814527802
Falstaff,3,0.0012788600288600289,0.07074809778100478
Basset,4,0.0005331609227713123,0.11997087097849159
General,1,0.0,0.027419187363573915
6Messenger,1,0.0,0.0363401083516568
Lucy,4,0.0015284715284715283,0.11249489928909219
John,1,0.0,0.027419187363573915
Servant,1,0.0,0.027419187363573915
Legate,1,0.0,0.025093004876448964
Scout,2,0.0,0.048586348475630196
Margaret,2,0.0,0.04295490606377834
Shepherd,3,0.0,0.09175218149378074
