names,degrees,betweenness,eigenvector
Buckingham,9,0.2264562834249246,0.12232958324001253
Norfolk,11,0.15881797902703826,0.300241533764166
Abergavenny,3,0.009290264516745358,0.05305190189311667
Wolsey,15,0.22797055506114744,0.35292116606747087
Secretary,1,0.0,0.04202548934431087
Brandon,3,0.0005807200929152149,0.022944706010279488
Sergeant,2,0.0,0.017299478821558818
Katharine,11,0.21950067289788547,0.1924507591089214
KingHenry,17,0.24842945801133953,0.3723391034823273
Surrey,7,0.016333443946684362,0.24870347899490045
Chamberlain,15,0.2428612908578065,0.3502366655197944
Sandys,4,0.005897074276865217,0.11673717247835774
Lovell,8,0.07917066802084223,0.20739713125883824
Guildford,1,0.0,0.04170553988351875
Anne,3,0.00038714672861014324,0.06978260878314547
Servant,2,0.0,0.08373102922782956
1Gentleman,3,0.023228803716608595,0.017086565319741988
2Gentleman,3,0.023228803716608595,0.017086565319741988
Vaux,2,0.0,0.03926369702638131
Suffolk,7,0.001718194052688826,0.2568276923594575
Campeius,3,0.0,0.10928035700391922
Gardiner,10,0.06869927078986313,0.26880461475119455
OldLady,4,0.006747414412919638,0.1190493667200249
Scribe,3,0.0025390372951348563,0.0963099851140092
Crier,4,0.010627177700348432,0.0835296728708571
Griffith,4,0.0017421602787456446,0.040359582425557095
Lincoln,1,0.0,0.04433768358597802
Gentlewoman,1,0.0,0.022917184073630456
Cromwell,6,0.008055082096893944,0.1963467778990605
3Gentleman,2,0.0,0.004069563083851182
Patience,3,0.0,0.0314712267702887
Messenger,3,0.0,0.0314712267702887
Capuchius,1,0.0,0.022917184073630456
Boy,1,0.0,0.03200869158354773
Denny,1,0.0,0.04433768358597802
Cranmer,10,0.06728057076489131,0.2635463871234432
Keeper,4,0.0028820224813256175,0.11261574867123098
Butts,2,0.0,0.0757202390157645
Chancellor,4,0.002608170639529524,0.11313695297675393
One,2,0.0,0.005824984581495678
Porter,3,0.09291521486643438,0.043092763841176523
Man,2,0.0,0.005824984581495678
Garter,1,0.0,0.03138255542978653
